CO2,pressure,temperature,humidity,date_time,time
634,1014.17,26.44,51.65,2022-08-04T23:57:56Z,23:57:56
633,1014.18,26.49,51.58,2022-08-04T23:58:01Z,23:58:01
633,1014.19,26.55,51.37,2022-08-04T23:58:06Z,23:58:06
633,1014.17,26.61,51.38,2022-08-04T23:58:12Z,23:58:12
633,1014.19,26.67,51.44,2022-08-04T23:58:16Z,23:58:16
630,1014.19,26.73,51.35,2022-08-04T23:58:21Z,23:58:21
631,1014.23,26.79,51.08,2022-08-04T23:58:26Z,23:58:26
629,1014.16,26.85,50.91,2022-08-04T23:58:31Z,23:58:31
629,1014.18,26.91,50.92,2022-08-04T23:58:37Z,23:58:37
629,1014.19,26.97,50.63,2022-08-04T23:58:41Z,23:58:41
628,1014.19,27.02,50.8,2022-08-04T23:58:46Z,23:58:46
627,1014.19,27.08,50.81,2022-08-04T23:58:51Z,23:58:51
626,1014.17,27.14,50.5,2022-08-04T23:58:56Z,23:58:56
625,1014.19,27.16,49.64,2022-08-04T23:59:01Z,23:59:01
623,1014.19,27.21,50.03,2022-08-04T23:59:06Z,23:59:06
623,1014.21,27.25,50.21,2022-08-04T23:59:12Z,23:59:12
623,1014.19,27.32,50.16,2022-08-04T23:59:16Z,23:59:16
623,1014.19,27.34,49.59,2022-08-04T23:59:22Z,23:59:22
623,1014.2,27.34,49.04,2022-08-04T23:59:26Z,23:59:26
623,1014.21,27.35,49.5,2022-08-04T23:59:32Z,23:59:32
622,1014.22,27.39,49.93,2022-08-04T23:59:36Z,23:59:36
622,1014.21,27.44,49.77,2022-08-04T23:59:41Z,23:59:41
622,1014.19,27.47,49.59,2022-08-04T23:59:46Z,23:59:46
621,1014.18,27.5,49.18,2022-08-04T23:59:51Z,23:59:51
622,1014.18,27.56,49.36,2022-08-04T23:59:56Z,23:59:56
621,1014.21,27.63,49.11,2022-08-05T00:00:02Z,00:00:02
621,1014.2,27.66,48.57,2022-08-05T00:00:06Z,00:00:06
621,1014.24,27.73,48.82,2022-08-05T00:00:11Z,00:00:11
622,1014.22,27.79,49,2022-08-05T00:00:16Z,00:00:16
622,1014.23,27.84,48.97,2022-08-05T00:00:21Z,00:00:21
621,1014.25,27.92,48.89,2022-08-05T00:00:26Z,00:00:26
621,1014.23,27.99,48.57,2022-08-05T00:00:31Z,00:00:31
622,1014.25,28.07,48.06,2022-08-05T00:00:37Z,00:00:37
624,1014.22,28.13,48.08,2022-08-05T00:00:41Z,00:00:41
627,1014.23,28.2,47.8,2022-08-05T00:00:47Z,00:00:47
631,1014.24,28.25,47.67,2022-08-05T00:00:51Z,00:00:51
633,1014.27,28.28,47.73,2022-08-05T00:00:56Z,00:00:56
638,1014.25,28.33,47.79,2022-08-05T00:01:01Z,00:01:01
638,1014.27,28.36,47.8,2022-08-05T00:01:06Z,00:01:06
642,1014.28,28.38,47.64,2022-08-05T00:01:12Z,00:01:12
